what	O
is	O
airline	O
us	B-airline_code

show	O
flights	O
from	O
pittsburgh	B-fromloc.city_name
to	O
oakland	B-toloc.city_name

which	O
flight	O
from	O
pittsburgh	B-fromloc.city_name
to	O
baltimore	B-toloc.city_name
carries	O
the	O
smallest	B-mod
number	O
of	O
passengers	O

can	O
i	O
get	O
from	O
dallas	B-fromloc.city_name
to	O
san	B-toloc.city_name
francisco	I-toloc.city_name
leaving	O
in	O
the	O
morning	B-depart_time.period_of_day
and	O
arriving	O
in	O
the	O
morning	B-arrive_time.period_of_day

show	O
me	O
all	O
flights	O
from	O
san	B-fromloc.city_name
francisco	I-fromloc.city_name
to	O
pittsburgh	B-toloc.city_name

please	O
show	O
me	O
flights	O
from	O
pittsburgh	B-fromloc.city_name
to	O
boston	B-toloc.city_name
on	O
saturday	B-depart_date.day_name
morning	B-depart_time.period_of_day
after	B-depart_time.time_relative
DIGIT	B-depart_time.time
am	I-depart_time.time

show	O
the	O
flights	O
that	O
leave	O
philadelphia	B-fromloc.city_name
that	O
go	O
to	O
atlanta	B-toloc.city_name
that	O
leave	O
early	B-depart_time.period_mod
on	O
thursday	B-depart_date.day_name
morning	B-depart_time.period_of_day

i	O
would	O
like	O
a	O
list	O
of	O
the	O
round	B-round_trip
trip	I-round_trip
flights	O
between	O
indianapolis	B-fromloc.city_name
and	O
orlando	B-toloc.city_name
on	O
the	O
twenty	B-depart_date.day_number
seventh	I-depart_date.day_number
or	B-or
the	O
twenty	B-depart_date.day_number
eighth	I-depart_date.day_number
of	O
december	B-depart_date.month_name

july	B-depart_date.month_name
seventh	B-depart_date.day_number
what	O
is	O
the	O
cost	O
of	O
a	O
round	B-round_trip
trip	I-round_trip
ticket	O
traveling	O
first	B-class_type
class	I-class_type
on	O
united	B-airline_name
airlines	I-airline_name
leaving	O
from	O
denver	B-fromloc.city_name
going	O
to	O
baltimore	B-toloc.city_name

how	O
expensive	O
is	O
the	O
san	B-city_name
francisco	I-city_name
limousine	B-transport_type
service	O

how	O
much	O
does	O
it	O
cost	O
to	O
get	O
downtown	O
from	O
the	O
atlanta	B-fromloc.airport_name
airport	I-fromloc.airport_name
by	O
limousine	B-transport_type

what	O
is	O
the	O
cheapest	B-cost_relative
fare	O
from	O
dallas	B-fromloc.city_name
to	O
denver	B-toloc.city_name
on	O
delta	B-airline_name

what	O
is	O
the	O
distance	O
between	O
pittsburgh	B-fromloc.airport_name
airport	I-fromloc.airport_name
and	O
downtown	O
pittsburgh	B-toloc.city_name

and	O
flights	O
leaving	O
from	O
atlanta	B-fromloc.city_name
to	O
oakland	B-toloc.city_name
leaving	O
after	B-depart_time.time_relative
DIGIT	B-depart_time.time
pm	I-depart_time.time

please	O
list	O
me	O
the	O
flights	O
and	O
their	O
cost	O
of	O
all	O
airlines	O
flying	O
from	O
denver	B-fromloc.city_name
to	O
baltimore	B-toloc.city_name

i	O
need	O
a	O
flight	O
from	O
pittsburgh	B-fromloc.city_name
to	O
los	B-toloc.city_name
angeles	I-toloc.city_name
thursday	B-depart_date.day_name
evening	B-depart_time.period_of_day

list	O
nonstop	B-flight_stop
flights	O
from	O
baltimore	B-fromloc.city_name
washington	B-fromloc.city_name
to	O
oakland	B-toloc.city_name
that	O
arrive	O
between	O
DIGITDIGITDIGIT	B-arrive_time.start_time
and	O
DIGITDIGITDIGIT	B-arrive_time.end_time
pm	I-arrive_time.end_time

define	O
airline	O
hp	B-airline_code

does	O
united	B-airline_name
airlines	I-airline_name
fly	O
from	O
denver	B-fromloc.city_name
to	O
baltimore	B-toloc.city_name

give	O
me	O
the	O
cheapest	B-cost_relative
round	B-round_trip
trip	I-round_trip
flight	O
from	O
dallas	B-fromloc.city_name
to	O
baltimore	B-toloc.city_name

list	O
the	O
flights	O
that	O
leave	O
from	O
philadelphia	B-fromloc.city_name
to	O
atlanta	B-toloc.city_name
early	B-depart_time.period_mod
thursday	B-depart_date.day_name
morning	B-depart_time.period_of_day
before	B-depart_time.time_relative
DIGIT	B-depart_time.time
am	I-depart_time.time

show	O
me	O
the	O
ground	O
transportation	O
at	O
denver	B-city_name

what	O
is	O
mco	B-airport_code

show	O
me	O
flights	O
from	O
baltimore	B-fromloc.city_name
to	O
dallas	B-toloc.city_name

please	O
list	O
the	O
morning	B-depart_time.period_of_day
flights	O
from	O
st.	B-fromloc.city_name
louis	I-fromloc.city_name
to	O
st.	B-toloc.city_name
paul	I-toloc.city_name

what	O
flights	O
are	O
there	O
on	O
sunday	B-depart_date.day_name
from	O
seattle	B-fromloc.city_name
to	O
chicago	B-toloc.city_name

show	O
me	O
flights	O
between	O
new	B-fromloc.city_name
york	I-fromloc.city_name
city	I-fromloc.city_name
and	O
las	B-toloc.city_name
vegas	I-toloc.city_name
on	O
sunday	B-depart_date.day_name

do	O
you	O
have	O
a	O
flight	O
from	O
atlanta	B-fromloc.city_name
to	O
boston	B-toloc.city_name

i	O
would	O
like	O
to	O
fly	O
from	O
atlanta	B-fromloc.city_name
to	O
philadelphia	B-toloc.city_name

what	O
is	O
your	O
last	B-flight_mod
flight	O
leaving	O
san	B-fromloc.city_name
francisco	I-fromloc.city_name
and	O
arriving	O
in	O
denver	B-toloc.city_name

i	O
would	O
like	O
to	O
fly	O
from	O
st.	B-fromloc.city_name
paul	I-fromloc.city_name
to	O
san	B-toloc.city_name
jose	I-toloc.city_name
monday	B-depart_date.day_name
morning	B-depart_time.period_of_day
from	O
san	B-fromloc.city_name
jose	I-fromloc.city_name
to	O
houston	B-toloc.city_name
tuesday	B-depart_date.day_name
morning	B-depart_time.period_of_day
and	O
from	O
houston	B-fromloc.city_name
to	O
st.	B-toloc.city_name
paul	I-toloc.city_name
on	O
wednesday	B-depart_date.day_name
morning	B-depart_time.period_of_day

now	O
show	O
me	O
the	O
flights	O
from	O
denver	B-fromloc.city_name
to	O
philadelphia	B-toloc.city_name
on	O
a	O
saturday	B-depart_date.day_name

show	O
me	O
flights	O
from	O
boston	B-fromloc.city_name
to	O
philadelphia	B-toloc.city_name
on	O
a	O
monday	B-depart_date.day_name

information	O
on	O
ground	O
transportation	O
in	O
denver	B-city_name

i	O
would	O
like	O
a	O
coach	B-class_type
class	I-class_type
<UNK>	O
on	O
a	O
flight	O
leaving	O
denver	B-fromloc.city_name
arriving	O
atlanta	B-toloc.city_name

i	O
'd	O
like	O
a	O
flight	O
from	O
montreal	B-fromloc.city_name
to	O
san	B-toloc.city_name
diego	I-toloc.city_name
for	O
sunday	B-depart_date.day_name

what	O
are	O
the	O
rental	B-transport_type
car	I-transport_type
rates	O
in	O
san	B-city_name
francisco	I-city_name

show	O
me	O
all	O
connecting	B-connect
flights	O
on	O
united	B-airline_name
airlines	I-airline_name
between	O
boston	B-fromloc.city_name
and	O
san	B-toloc.city_name
francisco	I-toloc.city_name

what	O
ground	O
transportation	O
is	O
available	O
from	O
the	O
pittsburgh	B-fromloc.airport_name
airport	I-fromloc.airport_name

are	O
there	O
wednesday	B-depart_date.day_name
morning	B-depart_time.period_of_day
flights	O
between	O
pittsburgh	B-fromloc.city_name
and	O
boston	B-toloc.city_name

what	O
is	O
the	O
cost	O
of	O
round	B-round_trip
trip	I-round_trip
ticket	O
first	B-class_type
class	I-class_type
between	O
oakland	B-fromloc.city_name
and	O
atlanta	B-toloc.city_name

i	O
need	O
to	O
fly	O
from	O
boston	B-fromloc.city_name
to	O
denver	B-toloc.city_name
this	O
monday	B-depart_date.day_name

show	O
me	O
all	O
flights	O
from	O
philadelphia	B-fromloc.city_name
to	O
san	B-toloc.city_name
francisco	I-toloc.city_name
with	O
one	B-flight_stop
stop	I-flight_stop
in	O
dallas	B-stoploc.city_name

list	O
flights	O
between	O
boston	B-fromloc.city_name
and	O
san	B-toloc.city_name
francisco	I-toloc.city_name
that	O
serve	O
breakfast	B-meal_description

list	O
all	O
us	B-airline_name
air	I-airline_name
flights	O
from	O
miami	B-fromloc.city_name
to	O
cleveland	B-toloc.city_name
leaving	O
on	O
sunday	B-depart_date.day_name
afternoon	B-depart_time.period_of_day

what	O
flights	O
are	O
there	O
between	O
nashville	B-fromloc.city_name
and	O
st.	B-toloc.city_name
louis	I-toloc.city_name
which	O
are	O
nonstop	B-flight_stop
and	O
arrive	O
after	B-arrive_time.time_relative
noon	B-arrive_time.time
and	O
before	B-arrive_time.time_relative
DIGIT	B-arrive_time.time
pm	I-arrive_time.time

show	O
flights	O
from	O
new	B-fromloc.city_name
york	I-fromloc.city_name
city	I-fromloc.city_name
to	O
las	B-toloc.city_name
vegas	I-toloc.city_name

i	O
would	O
like	O
information	O
on	O
ground	O
transportation	O
in	O
the	O
city	O
of	O
atlanta	B-city_name
from	O
airport	O
to	O
downtown	O

show	O
me	O
the	O
flights	O
to	O
love	B-toloc.airport_name
field	I-toloc.airport_name
from	O
all	O
other	O
airports	O

explain	O
restriction	O
ap	B-restriction_code
DIGITDIGIT	I-restriction_code

list	O
all	O
afternoon	B-depart_time.period_of_day
flights	O
on	O
united	B-airline_name
airlines	I-airline_name
from	O
san	B-fromloc.city_name
francisco	I-fromloc.city_name
to	O
denver	B-toloc.city_name

dallas	B-city_name
ground	O
transportation	O

show	O
me	O
the	O
airlines	O
between	O
boston	B-fromloc.city_name
and	O
denver	B-toloc.city_name

i	O
want	O
to	O
fly	O
dallas	B-fromloc.city_name
to	O
san	B-toloc.city_name
francisco	I-toloc.city_name
on	O
monday	B-depart_date.day_name
july	B-depart_date.month_name
eighth	B-depart_date.day_number

show	O
me	O
the	O
evening	B-depart_time.period_of_day
flights	O
from	O
philadelphia	B-fromloc.city_name
to	O
atlanta	B-toloc.city_name

please	O
show	O
me	O
all	O
one	B-round_trip
way	I-round_trip
first	B-class_type
class	I-class_type
flights	O
from	O
indianapolis	B-fromloc.city_name
to	O
memphis	B-toloc.city_name

i	O
would	O
like	O
the	O
first	B-flight_mod
flight	O
into	O
houston	B-toloc.city_name
from	O
dallas	B-fromloc.city_name
on	O
march	B-arrive_date.month_name
first	B-arrive_date.day_number
and	O
the	O
last	B-flight_mod
flight	O
from	O
houston	B-fromloc.city_name
to	O
dallas	B-toloc.city_name
on	O
march	B-depart_date.month_name
first	B-depart_date.day_number

i	O
need	O
to	O
know	O
information	O
for	O
flights	O
leaving	O
dallas	B-fromloc.city_name
on	O
tuesday	B-depart_date.day_name
evening	B-depart_time.period_of_day
and	O
returning	O
to	O
atlanta	B-toloc.city_name

what	O
are	O
the	O
flights	O
from	O
kansas	B-fromloc.city_name
city	I-fromloc.city_name
to	O
burbank	B-toloc.city_name
on	O
saturday	B-depart_date.day_name
may	B-depart_date.month_name
twenty	B-depart_date.day_number
two	I-depart_date.day_number
on	O
america	B-airline_name
west	I-airline_name

please	O
list	O
flights	O
from	O
atlanta	B-fromloc.city_name
to	O
philly	B-toloc.city_name

what	O
time	B-flight_time
are	O
the	O
flights	O
from	O
baltimore	B-fromloc.city_name
to	O
san	B-toloc.city_name
francisco	I-toloc.city_name

how	O
many	O
stops	O
on	O
continental	B-airline_name
DIGITDIGITDIGITDIGIT	B-flight_number
from	O
boston	B-fromloc.city_name
to	O
san	B-toloc.city_name
francisco	I-toloc.city_name

show	O
me	O
the	O
cheapest	B-cost_relative
flight	O
on	O
june	B-depart_date.month_name
fourteenth	B-depart_date.day_number
arriving	O
in	O
baltimore	B-toloc.city_name
starting	O
from	O
dallas	B-fromloc.city_name

